utterance,request,importance
"ask an agent how i can report an issue sith my payment, please",5,0
the concert was postponed and I want to request a refund,11,1
would it be possible to check my order ETA?,3,2
I do not know how I can edit the information on my account,19,1
I need help opening  an account,8,2
I try to talk with an agent,14,2
"I have an issue when trying to make a payment with card, what can I do?",5,1
assistance to cancel my corporate newsleter subscription,18,2
"i dont have an online account, what can i do?",8,0
tell me if I can check my fucking shipments,3,2
I want help cancelling an order I have made,27,1
ask an agent if i can check their reimbursement policy,16,0
"I bought a product, what do I have to do to change my order?",0,1
the transaction was declined,5,2
"I get an error message when I attempt to pay for my online order, what do I have to do?",5,1
could you help me deleting the account?,1,2
can I write a comment for a service?,23,2
"I have a problem when trying to pay for my online order, what do I have to do to notify it?",5,1
i lost my bills and i wanna check them,17,0
cam you show me information about the mail of the Customer Support?,10,2
i lost my bill and i wanna view it,17,0
how to track my rder,3,2
i have a problem paying for my order and i want to inform of it,5,0
help me use a different profile,6,2
"I want information, what should I do to speak with Client Service?",10,1
can I report problems making a payment?,5,2
can I obtain an invoice?,2,2
I have to delete an account,1,1
"I don't like the service, can I lodge a complaint?",9,1
how do i remove my online account,1,0
can you ehlp me speak with a person?,14,2
I have got to subscribe to your company newsletter,18,1
"i have a problem when trying to make a payment, what do i have to do to inform of it?",5,0
"I got an error message when I attempted to pay, but I was charged anyway, what should I do to report it?",5,1
i do not sue this user profile can i switch to the new one,6,0
I can't remember my account password and I'd like to reset it,12,1
where can I track my purchase?,3,2
"my user account was hacked, help me get it back",12,1
"I can't understand you, can I speak with a human?",14,1
how do I know where my order is ?,3,1
could u ask an agent where i can see my bill?,17,0
"I've got no user account, how can I create one?",8,1
how can I write an opinion for a service?,23,2
ccan you check the status of my purchase?,3,2
"please, can u ask an agent to report fucking payment problems?",5,0
can u show me information about your payment methods?,21,0
"I forgot my password, retrieve it",12,1
can you tell me the email address to contact Customer Service?,10,2
i want to know if there's a newsletter to stay informed,18,0
"I want to view your reimbursement policy, qhat should I do?",16,1
can u give me information about your payment methods?,21,0
what do I have to do to create a new account ?,8,1
I need to buy a few of your item,26,1
how do i create another damn plus account,8,0
i want to know what the number to contact customer support is,10,0
can u ask an agent to contact client service?,10,0
I need to get the invoices from 3 purchases ago,2,1
can I have more than one online account?,8,1
"I want to solve an issue paying, what do I have to do?",5,1
"i can't find my bills, can i check them?",17,0
can you help me cancelling the order I made?,27,2
you arent helping and i wanna talk to a human agent,14,0
how can I report an issue making a payment?,5,2
ask an agent if I can leave a fucking review,23,2
"i want information, can i contact customer service ?",10,0
how do I notify problems with my payment?,5,2
"I have an issue paying weith card, I need help notifying it",5,1
I need help to chat with someone,14,2
"I want a reimbursement, get one",11,1
"I want to view my invoice, hwat do I have to do?",17,1
"i dont have a user accolunt, create one",8,0
"please, i wanna know if i can register two online accounts with a single email",8,0
"I have a problem making a payment with card, what should I do to inform of it?",5,1
I need help solving an issue with payment,5,2
I try to change to a new user profile,6,2
"I do not like the service, could I make a fucking complaint?",9,1
I want assistance to open a different account for my dad,8,2
"could u ask an agent to give me information about the fucking delivery options, please?",13,2
"you aren't helping, what should I do to speak with a person?",14,1
help regarding registration,25,2
can u ask an agent where to close my fucking user account?,1,0
"I hjave  no online account, what should I do to open one?",8,1
"I ordered something, can I modify my purchase?",0,1
"i have a problem making a payment, what do i have to do?",5,0
tell me how I can request some bills,2,2
"I don't have an online account, I need help registering",8,1
"I'm happy with the service, what can I do to make a review?",23,1
can you help me finding the invoices from July?,15,2
I want to know if I can create several user accounts with a single email,8,1
help to lodge a customer claim,9,2
where do I download an invoice?,2,2
I would like to cancel the company newsletter subscription,18,2
can you tell me the free number of Customer Support?,10,2
"I want a reimbursement, what should I do to request on?",11,1
tell me if I can change my order,0,2
"I have an issue making a payment, what do  I have to do to notify it?",5,1
"I have a question, what should I do to spak with Customer Service?",10,1
"i cant pay, what do i have to do?",5,0
could you help me to check your allowed payment methods?,21,2
i want to see the mail to contact Client Service,10,0
can you tell me if i can register more than one account with the same email address?,8,0
how can I close my online account?,1,2
I need help tracking my order,3,2
"the event was cancelled, what should I do to request a reimbursement?",11,1
"i got an error message when i tried to pay, but my card was charged anyway, what do i have to do to report it?",5,0
how to solve payment issues,5,2
i want help to edit my personal information,19,0
could u ask an agent how to retrieve my password ?,12,0
"I want to track my orders, can you tell me how to do it?",3,1
can I register two user accounts with a single email?,8,2
how do I check the delivery options?,13,2
"I got an error when I attempted to make a payment, but I was charged anyway, can I report it?",5,1
"I'm not happy with the service, how do I file a consumer complaint?",9,1
is it possible to correct my personal details?,19,2
I don't understand you and I want to speak with a person,14,1
find information about the delivery periods,7,2
can you tell me more about changing my shipping address?,24,2
can u ask an agent to report a payment problem?,5,0
i want to know if i can create more than one online account with a single email address,8,0
"I got a error when I tried to pay, but I was charged anyway, what should I do to notify it?",5,1
can you check the cancellation fees?,20,2
how could I set a new shipping address up?,4,2
I can't find my invoices and I want to see them,17,1
"I have a problem paying for my order, what can I do to notify it?",5,1
I need help seeing an invoice,2,2
help me recpver my apssword,12,2
"I bought something, help me modify my order",0,2
tell me if I could register two user accounts with a single email address,8,2
how could I check my order ETA?,3,2
I have to switch user,6,2
i need assistance to open a user account,8,0
"i wanna submit a compalint for a service, what can i do?",9,0
"I got an error when I tried to pay, but my card was charged anyway and I want to report it",5,1
i want to know if i can download some bills,2,0
"I would like a fucking user account and I would like to create one, please",8,1
I don't know how to reset myuser account PIN,12,1
I want assistance solving a payment issue,5,2
I want to ask for information about getting some bills,2,1
I don't know what to do to buy some of your item,26,1
"I don't understand you, I need help contacting a person",14,1
"i havent got an account, what can i do to create one?",8,0
i wanna see the mail address of the Customer Support,10,0
"i dont want my user account, whazt can i do to remove it?",1,0
"I cannot find the termination charges, I needhelp",20,1
help leaving a review,23,2
"I want to update my shipping address, what should I do?",24,1
"I want to make a conmsumer complaint, what should I do?",9,1
"ive got no online account, can i create one?",8,0
"i have no shipping address, can u set it up?",4,0
"I need a profile, what can I do to create one?",8,1
could you show me the free phone number of Client Service?,10,2
"the show was cancelled, how can I obtain a reimbursement?",11,1
I try to report an issue with payment,5,2
"my profile's been hacked, can I recover it ?",12,1
I found a problem opening an account,25,2
how do I open  an account?,8,2
could u ask an agent how to view the status of my purchase?,3,0
I don't know how I could leave a review for your company,23,1
how could I check what hours I can contact customer service?,10,2
"you're not helping, how do I talk to a human agent?",14,1
help buying an item,26,2
can you give me information about account removals?,1,2
"i havent got an account, how do i register?",8,0
"i got an error message when i tried to pay, but i was charged anyway, what should i do?",5,0
tell me if I can register more than one online account with a single email,8,2
could you ask an agent how I can notify a problem paying?,5,2
"I don't know anything about your money back guarantee, tell me about it",16,1
"I can't remember my password, what do I have to do to retrieve it?",12,1
"im happy with the service, can i file an opinion?",23,0
where can I notify payment issues?,5,2
"you aren't helping, how do I contact a human agent?",14,1
is there a free no to contact Customer Service?,10,2
I want to know about changing my purchase,0,2
"I want to subscribe to the newsletter, tell me where I can do it",18,1
"I got an error when I attempted to make a payment, but I was charged anyway, what do I have to do to inform of it?",5,1
"i got an error message when i attempted to pay, but my card was charged anyway, can u inform of it?",5,0
help me to check the refund status,22,2
"i got an error message when i tried to pay, but i was charged anyway, i need help informing of it",5,0
help me see the status of my purchase,3,2
I try to change an item of an order,0,2
"I don't want my account, how can I close it?",1,1
can you help me leaving a review for your services?,23,2
how can I close my account?,1,2
I want to know how I can know where my order is,3,1
could I add something?,0,2
"I got an error when I attempted to make a payment, but my card was charged anyway, I need help informing of it",5,1
where do I buy several of your item?,26,2
ask an agent where i can notify a problem with my payment,5,0
I want to know about changing my order,0,1
i dont know what to do to speak to a human agent,14,0
I want to switch user,6,2
could you help me to check the status of my order?,3,2
can you tell me the phone number to contact Client Service?,10,2
solve issues with payments,5,2
I found an issue while signing up,25,2
could you help me to delete an account?,1,2
i have forgot my piin code need help restoring it,12,0
how can I inform of issues paying?,5,2
"I got an error when I trued to pay, but I was charged anyway, notify it",5,1
where to view your money back policy,16,2
i wanna see the email of customer service,10,0
what do i need to do to check the termination penalties,20,0
I need help to delete an account,1,2
I need help to check your refund policy,16,1
ask an agent to call Client Service,10,2
how can I check what options for delivery you offer?,13,2
"youre not helping, talk to fucking someone, pleased",14,2
I need help to file a complaint against your business,9,1
I am calling to check how long the delivery takes,7,1
I cannot find the invoices,15,1
I'm happy with the service and I want to file an opinion,23,1
I have to buy a few of your item,26,1
"my account's been hacked, what can I do to get it back?",12,1
"I haven't got a user account, what do I have to do?",8,1
"I changed my mind, can you remove my online account?",1,1
I would like to check in what cases can I ask to be refunded,16,1
"I've got no account, how can I register?",8,1
"I want an online account, can I open one?",8,1
I don't have a shipping address and I want to set one up,4,1
what do I have to do to change to a different user profile?,6,1
I want to report a problem paying,5,2
"I lost my bill, can you show it?",17,1
I want to know where I can track my shipments,3,1
can you help me getting my invoices?,2,2
I want to see the email address of Customer Service,10,2
can you give me information about forgotten passwords?,12,2
I'd like to inform of fucking problems paying,5,2
"I didn't receive my invoices, how do I check them?",17,1
tell me how long it takes for a ticket to arrive,7,2
"the game was cancelled, can i request a reimbursement, please?",11,0
how do I switch user?,6,2
"the show was cancelled, hat should I do to get a reimbursement?",11,1
how do I talk to  a human agent?,14,2
"i lost my invoice, can u view it?",17,0
can you show me my invoice?,17,2
how can I track my shipments?,3,2
"I want to see your allowed payment options, I need help",21,1
ask an agent to notify issues with my payment,5,2
need to modify my shipping address,24,2
"I want to view the options for ticket delivery, what do I have to do?",13,1
can you tell me what the mail address to contact Customer Service is ?,10,2
"could you ask an agent how I can inform of fucking issues paying, please?",5,2
how much will you charge me if I break the contract?,20,1
I don't know what I have to do to delete the account,1,1
show me how long the delivery takes,7,2
I want to know where I can obtain a bill,2,1
"an error message pops when I try to make a payment for my online order, what should I do?",5,1
"I want to make an opinion for a service, what do I have to do?",23,1
"I can't find my invoices, can I view them?",17,1
"I get an error message when I attempt to pay with card, can you help me?",5,1
I want to check the ticket delivery options,13,2
where do I see the ticket delivery options ?,13,2
"please, can you ask an agent where I could notify problems making a payment?",5,2
"the show was cancelled, what should i do?",11,0
I want assistance finding my invoice,15,2
I don't know what to do to open a different account,8,1
ask an agent how to view the status of my reimbursement,22,1
"I need information, what can I do to talk to Customer Support?",10,1
tell me wht the email address to contact Client Service is,10,2
"I have a problem paying with card, can I inform of it?",5,1
where to view the ticket delivery options,13,2
I am trying to set up another shipping address,4,2
"I get an error when I try to pay for my order, what can I do?",5,1
I have an issue when trying to make a payment and I want to report it,5,1
help me to solve a payment issue,5,2
"I changed my mind, how can I remove my profile?",1,1
ask an agent how i can solve payment problems,5,0
I want to know something about requesting a bill,2,1
"I'm not happy with the service, what do I have to do to make a complaint?",9,1
"please, could you ask an agent if I can check the cancellation fees?",20,2
"I have a problem when trying to make an payment, what can I do to notify it?",5,1
"please, i wanna know if i could request some fucking bills",2,0
ask an agent if i can report problems paying,5,0
"could you ask an agent where to request a refund, please?",11,2
"I have got to modify the data on my profile, ca you help me?",19,1
where do i file a fucking complaint against ur company,9,0
were do I cancel my account?,1,2
what do I need to do to track my last order?,3,1
"i want a profile, can i create one?",8,0
I have got to get the invoice from June,2,1
"I want to use my other profile, what should I do to switch them?",6,1
"I want to ssee the cancellation fee, what do I have to do?",20,1
"you're not helping, help me talk to someone",14,2
where to notify a problem with my payment,5,2
help to check what hours I can contact customer service,10,2
can I view the cancellation fees?,20,2
show me the cancellation penalties,20,2
"you aren't helping, how can I speak with a human?",14,1
"i wanna lodge a complaint for a service, what can i do?",9,0
"I changed my mind, how do I delete my user account?",1,1
"I can't find my invoice, what do I have to do to check it?",17,1
tell me about modifying my purchase,0,2
"I need information, what do I have to do to send an email to Customer Support?",10,1
tell mne where to rfeceive the newsletter,18,2
ask an gaent where i can remove my profile,1,0
can I register two user accounts with the same email address?,8,2
i cant remember my password and i want to reset it,12,0
"I want to use my other online account, help me switch them",6,2
where do I see the fucking cancellation fee?,20,1
"I ordered an item, I need help changing my order",0,1
"I have no user account, could I register?",8,1
how do i see th accepted payment methods,21,0
"I changed my mind, what can I do to close my profile?",1,1
can you tell me about the ticket delivery options?,13,2
"the event was cancelled, what should I do to request a refund?",11,1
I have a problem opening an account,25,2
where can I view the cacnellatio fees?,20,2
"could u ask an agent how i can report problems with my payment, please?",5,0
where do i write an opinion?,23,0
could u show me the mail of client service?,10,0
I want to see themail address of Customer Support,10,2
I do not know how I can report an issue with payments,5,1
can you tell me about a shipping address change?,24,2
how to view the status of my refund,22,2
I need to switch to my new user account,6,2
help me report payment problems,5,2
I don't know what I need to do to switch user,6,1
I want to see the free number to contact Customer Service,10,2
"i cant understand you, contact a person",14,0
"I got an error when I attempted to pay, but my card was charged anyway, I need help reporting it",5,1
could u ask an agent how to obtain a fucking invoice?,2,0
how can I report problems with my payment?,5,2
help filing a complaint against your business,9,2
"I don't like the service, what should I do to lodge a complaint?",9,1
how do I report issues making a payment?,5,2
can u ask an agent where to notify issues making a payment?,5,0
"please, could u ask an agent if there's a fucking newsletter to stay up-to-date?",18,0
can u ask an agent where to lodge a consumer complaint for a service?,9,0
"I lost my invoice, help me see it",17,1
"i got an error message when i attempted to make a payment, but i was charged anyway, what should i do?",5,0
"I get an error when I try to make a payment for my order, what can I do?",5,1
ask an agent if i can see some biols,2,0
I want to take a quick look at my invoices,15,1
I don't have an online account and I want to create one,8,1
checking invoices from last purchase,15,2
"I bought an item, I need help changing my order",0,1
"I am not happy with youur service, assistance filing a claim",9,2
could i create several profiles with the same email?,8,0
where do I create an online account?,8,2
"i'd like to see a bill, can you tell me where to do it, please?",2,0
I would like to leave a review for a service,23,1
tell me if I can register two online accounts with the same email address,8,2
assistance creating a bloody new account,8,2
"I have an issue when trying to pay for my order, can you notify it?",5,1
I can't find my invoice and I want to check it,17,1
I need help to report registration issues,25,2
i wanna see your money back guarantee,16,0
"I got an error when I attempted to pay, but my card was charged anyway, can you help me?",5,1
I want help to change the shipping address,24,2
I don't have an account and I want to create one,8,1
"I've got no account, what should I do to register?",8,1
where can I see the termination fees?,20,2
"I don't want my profile, cancel it",1,1
"I got an error when I tried to make a payment, but my card was charged anyway, can I inform of it?",5,1
"please, can u ask an agent if i can inform of fucking problems with my payment?",5,0
"the event was cancelled, can I request a  refund?",11,1
where do I close my user account?,1,2
"I changed my mind, help me remove my account",1,1
I want to know how I can request some invoices,2,1
"I purchased an item, what do I have to do to modify my order?",0,1
I want assistance to see the withdrawal penalties,20,2
"i have a problem making a payment with card, help me inform of it",5,0
how can I create a profile?,8,2
"I got an error message when I tried to pay, ubt I was charged anyway, infrm of it",5,1
how do i notify payment issues?,5,2
I don't know how to see your allowed payment options,21,1
"id like to notify an issue with my payment, could u help e?",5,0
I want to see the cancellation fees,20,1
"I have no online account, what should I do?",8,1
"can you ask an agent how I can check the fucking cancellation penalties, please?",20,2
"please, could you ask an agent if I could talk to Customer Support?",10,2
I need a user account and I want to open one,8,1
what's the number to contact Client Service?,10,2
sho me my invoices,17,0
"I ordered something, how do i modify my purchase?",0,0
"I lost my password, how do I reset it?",12,1
"please, could u ask an agent what my delivery of my fucking order iks?",3,0
ask an agent to find inormation about the status of my refund,22,1
ask an agent how i  can view their payment methods,21,0
I have an issue changing my shipping address,24,1
how do I subscribe to the newsletter?,18,2
"I got an error message when I tried to make a payment, but I was charged anyway and I'd like to report it, please",5,1
"i want to check your money back policy, what should i do?",16,0
ask an agent how I could notify a payment issue,5,2
"I got an error when I attempted to make a payment, but my card was charged anyway, how do I notify it?",5,1
there are troubles updating the address,24,2
"youre not helping, i need help speaking with a human",14,0
"I forgot my password , what should I do to retrieve it?",12,1
help me modify some of the details on my profile,19,2
"I have an issue when trying to pay for my order, I need help reporting it",5,1
can you show me information about my invoices?,17,2
what can yopu tell me about subscribing to the newsletter?,18,2
where do I set up my shipping address?,4,2
I wanna check my package,3,2
I want assistance reporting a registration issue,25,2
assistance checking the status of the refund,22,2
what do I need to do to track an order?,3,1
"can u show me the amil to contact customer service, please?",10,0
would it be possible to set up another shipping address?,4,2
"id like to see some fucking bills, can you give me some information?",2,1
what do i need to do to notify of a sign-up problem,25,0
would it be possible to delete my account?,1,2
"I don't understand you, how do I talk to someone?",14,1
where to make a complaint for a service,9,2
"my profile's been hacked, i need help recovering it",12,0
"I have a question, what should I do to talk to Client Service?",10,1
"i want to solvea problem with my payment, what do i have to do?",5,0
"I can't understand you, could you contact fucking someone?",14,1
i have to call customer assistance can i get some help,10,0
"I got an error when I attempted to make a payment, but I was charged anyway, what do I have to do to notify it?",5,1
I'm having an issaue opening an account,25,2
could I check in what cases can I ask for my money back?,16,1
I need help solving a problem making a payment,5,2
I am trying to buy several items,26,1
I do not know how I could check the status of my order,3,1
how do i report problems making a payment?,5,0
"i changed my mind, how can i delete my profile?",1,0
how do I notify a problem paying?,5,2
"the game was postponed, obtain a refund",11,2
"the event was postponed, what can I do to requesta refund?",11,1
"you arent helping, how can i talk to someone?",14,0
I have a problem making a payment with card and I want to report it,5,1
"I want to check my shipment, can you tell me where to do it?",3,1
"I got an error when I tried to make a payment, but my card was charged anyway, what should I do?",5,1
check the status of my order,3,2
I don't know what I have to do to see the cancellation fees,20,1
"I got an error when I tried to make a payment, but my card was charged anyway, what can I do?",5,1
can you tell me the email to contact customer service?,10,2
"I get an error when I attempt to pay, what should I do?",5,1
can you tell me if I can create two accounts with a single email address?,8,2
where can I check the cancellation fee?,20,2
could I track my last order?,3,2
help deleting an account,1,2
when can I expect my money back,11,2
ask an agent if i can solve problems with my payment,5,0
"could u ask an agent where i could obtain a fucking refund, please?",11,0
I want to contact a human gaent,14,2
I try to check what hours customer service available is,10,2
can u show me information about the email of the Client Service?,10,0
can you tell me where to track my packages?,3,2
where can I check my shipmetn?,3,2
I need help speaking with someone,14,2
"I do not like the service , I need help submitting a complaint, please",9,1
I want to know more about forgotten passwords,12,2
"please, can u ask an agent where i could remove my user account?",1,0
"I didn't receive my bill, how can I check it?",17,1
show early exit penalty,20,2
how do i see the cancellation charge,20,0
can you ask an agent if I can solve fucking payment problems ?,5,2
"i got an error message when i attempted to pay, but i was charged anyway, how can i inform of it?",5,0
an error pops when i attempt to make a payment with card,5,0
how can I take a quick look at the invoice from August?,15,1
I don't have a user account and I want to open one,8,1
"please, ask an agent to give me information about the delivery period",7,2
"please, ask an agent if I could lodge a consumer complaint for a sevrice",9,2
"the game was cancelled, what can I do to get a reimbursement?",11,1
help to change an order I have made,0,2
I have a problem paying and I want to notify it,5,1
where to track my delivery,3,2
help me to change to a new profile,6,2
"i dont understand you, contact someone",14,0
"I wanna know where to check my shipments, please",3,2
I want to ask for information about seeing an invoice,2,1
assistance checking when my item is going to arrive,7,2
"I want to open a user account, can you help me?",8,1
I need an online account and I wanmt to open one,8,1
"ask an agent where to write a review for a service, please",23,2
"you arent helping, how do i talk to someone?",14,0
how to track my refund,22,2
can u ask an agent to talk to client service?,10,0
how can I submit some feedback for your services?,23,2
"I got an error when I attempted to make a payment, but I was charged anyway, how can I report it?",5,1
help checking what delivery options I have,13,2
I need assistance to change several items of an order,0,2
I want to see the phone number of Customer Support,10,2
show me my bill,17,2
"I have to contact custoner service, can you help me?",10,1
I have an issue paying for my order and I want to notify it,5,1
help me to check what hours I can contact customer service,10,2
"I didn't receive my invoices, what should I do to see them?",17,1
"I can't find my bills, help me check them",17,1
could you help me to get my money back?,11,1
where could I get a refund of money?,11,1
I need assistance seeing the accepted payment method,21,2
"the cincert was postopned, can I get a refund, please?",11,1
"I haven't got an online account, help me open one",8,1
help me check at what time customer service available is,10,2
help buying some of your item,26,2
I need assistance with canceling the order I have made,27,1
I try to leave a review,23,2
I don't know what to do to file a complaint,9,1
"the game was postponed, get a refund",11,1
"I have a question, how do I call Customer Support?",10,1
"i want to request a bill, tell me were to do it",2,0
"I can't find my bill, how can I check it?",17,1
issue setting a new shipping address up,4,2
I try to check the status of my refund,22,1
"I lots my invoice, how can Iview it?",17,1
"i have a issue when trying to pay with card, cani report it?",5,0
"i got an error when i attempted to pay, but my card was charged anyway, what should i do to notify it?",5,0
can you give me information about the email address of the Client Service?,10,2
I'm having issues creating a acount,25,1
"I cannot sign up , I want to report signup problems",25,1
i want to know were I can check my orders,3,0
i have to contact somebody,14,0
"please, can you ask an agent where I could check my invoices?",17,2
I don't know what to do to report an issue with payment,5,1
I need to cancel my newsletter subscription,18,1
could you help me switching user?,6,2
"the concert was postponed, how do I get a refund?",11,1
ho to leave a review,23,2
"I want an online account, can you open one?",8,1
how do I see my bills?,17,2
is it possible to download an invoice?,2,2
whereto check your money back policy,16,2
ask an agent to report a payment issue,5,2
"i wanna view the fucking options for delivery, what can i do?",13,0
can u ask an agent if i can request a bill?,2,0
how do I lodge n consumer complaint?,9,2
the show aws postponed and id like to get a fucking reimbursement,11,1
"I've got no user account, I need help opening one",8,1
"I don't like the service, I need help submitting a consumer complaint",9,1
contacting agent,14,2
"could you ask an agent how to cancel my account, please?",1,2
"i have an issue making a payment with card, what can i do to inform of it?",5,0
where to change my shipping address?,24,2
"I need a profile, what should I do?",8,1
"i can't find my invoice, i need help seeing it, please",17,0
"an error pops when I attempt to make a payment, what can I do?",5,1
"an error message pops when I try to pay with card, what do I have to do?",5,1
"I don't have an online account, can I open one?",8,1
i want to notify problems with my payment,5,0
"I don't like the service, what can I do to file a consumer complaint?",9,1
help me contact someone,14,2
I want to ger a bill,2,2
"I forgot my account password, what should I do to recover it?",12,1
"ive got no account, what do i have to do?",8,0
"the show was postponed, help me obtain a reimbursement",11,1
"I have a question, talk to Client Service",10,2
I want to know if there is a free number to contact Customer Support,10,1
tell me if there is a free phone number to contact Client Service,10,2
"please , could you ask an agent to solve issues paying?",5,2
"i obught a product, what do I have to do to change my order?",0,0
"i lost my bill, how do i see it?",17,0
"i need a user account, can u create one?",8,0
id like to view the cancellation penalty,20,2
help me open a user account,8,2
"I'd like to modify my fucking order, could you tell me where I can do it?",0,1
"the game was postponed and i wanna get a fucking reimbursement, please",11,0
what can  you tell me about seeing some invoices?,2,1
"I got an error message when I attempted to make a payment, but my card was charged anyway, how do I report it?",5,1
will you show me how long the delivery takes?,7,2
I do not know how I could buy some items,26,1
"I can't understand you, what should I do to contact a person?",14,1
"I don't want my account , remove it",1,1
I do not know how to get in touch with customer support,10,1
"an error message pops when I try to pay for my order, what ahould I do?",5,1
I want help setting up another shipping address,4,2
I need an agent,14,2
"my user account's been hacked, can I recover it?",12,1
"i got an error when i attempted to make a payment, but i was charged anyway, i need help notifying it",5,0
how do I change to another online account?,6,2
I want to know if i can see a bill,2,0
how can I view my invoice?,17,2
wanna chat with a person,14,2
how can I leave a review for a service?,23,2
"I lost my password, what can I do to retrieve it?",12,1
i need help checking my bill,17,0
I want help to check the cancellation fees,20,2
"please, can you obtain some bills?",2,2
"i dont have a profile, can u create one?",8,0
can you give me information about user account deletions?,1,2
I want assistance to make an order,26,2
can u ask an agent if i can update my profile?,19,0
when will I get a reimbursement?,11,1
"you aren't helping, can you talk to a human agent?",14,1
"I want to check my bill, what should I do?",17,1
can you ask an agent how to get an invoice?,2,2
can you show me the phone number of Customer Service?,10,2
"I got an error message when I attempted to pay, but my card was charged anyway, can you inform of it?",5,1
"someone stole my password, could you retrieve it?",12,2
"I have an issue making a payment with card,how do I notify it?",5,1
"I have no account, create one",8,2
i wanna see the mail address tocontact Client Service,10,0
where do I switch to another user account?,6,2
"I want a reimbursement, how do I get one?",11,1
do you have an e-mail to submit a review for your company?,23,2
"I have an issue paying, can you notify it?",5,1
I don't know how I can buy several of your item,26,1
"I'm happy with the service, how do I make a review?",23,1
tell me if my refund has been processed,22,2
"my account's been hacked , what can i do to recover it?",12,0
I want to know how I can see some invoices,2,1
"I got an error message when I attempted to make a payment, but my card was charged anyway, I need help reporting it",5,1
i call to lodge a consumer reclamation against ur business,9,0
information about the email address  of the Customer Support,10,2
creaitng premium account for fiancee,8,2
review for your services,23,2
help me edit my account,19,2
can u show me information about the email address to contact Customer Support?,10,0
i need help lodging a claim against ur organization,9,0
I need information about changing my order,0,2
what's the mail address to contact Client Service?,10,2
"I have a problem when trying to pay for my online order, what can I do to report it?",5,1
ask an agent if I can track my delivery,3,2
I need to delete my account,1,1
where could I get the invoices from November?,2,1
"I changed my mind, what should I do to cancel my user account?",1,1
can you tell me if I can register two online accounts with the same email?,8,2
how to delete my online account,1,2
tell me where I can track my orders,3,2
can you tell me how I can track my delivery?,3,2
how to check how long the delivery takes?,7,2
"i have an issue making a payment , inform of it",5,0
can you tell me if I can create two profiles with the same email address?,8,2
"can u show me the fucking free phone number to contact customer service, please?",10,0
"I want to use my other online account, can I change them?",6,1
"I changed my mind, help me close my online account",1,1
how do I check my packages?,3,2
help me report issues paying,5,2
will you show me what options for delivery you offer?,13,2
"I want to check the ticket delivery options, can you help me?",13,1
can you help me checking what payment methods you accept?,21,2
"i want to notify an issue making a payment, what can i do?",5,0
"the game was postponed, get a reimbursement",11,1
"I got an error message when I attempted to make a payment, but my card was charged anyway, what should I do to inform of it?",5,1
I wanna modify my order beforeyou send it,0,2
"i want information, how can i talk to customer service?",10,0
"I want to change my purchase, can you tell me how I can do it?",0,1
assistance taking a quick look at the invoices from May,15,1
can you show me the fucking free phone number of Customer Support?,10,2
"please, can you ask an agent where I could view my bill?",17,2
"the fucking event was cancelled, what can I do to obtain a reimbursement?",11,1
I need assistance with adding an item,0,2
"I got an error message when I tried to make a payment, but I was charged anyway, what can I do to inform of it?",5,1
i want to see the email of client service,10,0
i want to see the free phone number to contact client service,10,0
I want to view the status of my purchase,3,2
could you send me the invoice from my last purchase?,2,2
I do not know what I have to do to get refunds of money,11,1
can you show me the cancellation fee?,20,2
"I want to check your payment options, what do I have to do?",21,1
"I want to see an invoice, can you tell me where to do it?",2,1
can u ask an agent how to know where my  delivery is?,3,0
tell me if I can create more than one user account with a single email,8,2
ask an agent where i can obtain a reimbursement,11,0
"I'm happy with the service, I need help making a review",23,1
I want to know what the mail address of Customer Support is,10,2
"i cant remember my account password, what can i do to reset it?",12,0
"could u check my ibll, please?",17,0
why is not my new shipping address valid,4,2
"I would like to track my refund, what should I do ?",22,1
"I need information, how do I speak with Customer Support?",10,1
I do not know how to register,8,1
how do I find the invoice from April?,15,1
"I ordered a product, what can i do to change my order?",0,0
how t talk to  Customer Service,10,2
refund status,22,2
"I get an error when I attempt to make a payment for my online order, can you help me?",5,1
I have an error updating the damn shipping address,24,2
"i got an error when i tried to pay, but my card was charged anyway and i wanna notify it",5,0
i do not know what to do to correct my shipping  address,24,0
help to see the termination penalties,20,2
question about changing an order,0,2
"I've got no account, what do I have to do?",8,1
"I haven't got a profile, help me create one",8,1
"i need information, what should i do to send an email to client service?",10,0
can u ask an agent to report issues with my payment?,5,0
"I don't understand you, what can I do to contact someone?",14,1
"I need a profile, what can I do?",8,1
I want to know if I can change my order,0,1
I need information about my invoices,17,2
i have to update some of the details included on my account,19,0
I don't know how I can update my user account,19,1
help me see some invoices,2,2
"i want information, can u speak with client service?",10,0
where to inform of payment issues,5,2
can you give me information about a forgotten password?,12,2
"I can't remember my account password, what should I do to reset it?",12,1
"i have no shipping address, what do i have to do to set it up?",4,0
"I'm happy with the service, how can I submit a comment?",23,1
how could I find information about forgotten passwords?,12,2
"you aren't helping, talk to a person",14,2
can I register several profiles with a single email?,8,2
"i ordered a product, what should I do to change my purchase?",0,0
what are the payment methods available?,21,2
i want help signing up to the corporate newsletter,18,0
I try to find my invoices,15,1
"i got an error message when i tried to make a payment, but my card was chargted anyway, can u inform of it?",5,0
help to check what delivery options you offer,13,2
would it be possible to report a registration issue?,25,2
"I have an issue paying, can I notify it?",5,1
"I want to view your money back guarantee, what do I have to do?",16,1
"please, i wanna get information about subscribing to the fucking newsletter",18,0
where can I check what options for delivery you offer?,13,2
"someone stole my account password, can u retrieve it?",12,0
